dict,problem,name,summary
"{'Age': 46.0, 'Class of Worker': 'Local government employee (city, county, etc.)', 'Educational Attainment': 'Doctorate degree', 'Marital Status': 'Married', 'Occupation': 'EDU-Postsecondary Teachers', 'Place of Birth': 'Sri Lanka', 'Usual Hours Worked per Week': 25.0, 'Sex': 'Female', 'Race': 'Asian alone'}",0,Base summary,"The individual is a 46-year-old female, married, born in Sri Lanka. She holds a doctorate degree and works part-time (25 hours/week) as a postsecondary teacher for local government. She identifies as Asian alone."
"{'Age': 46.0, 'Class of Worker': 'Local government employee (city, county, etc.)', 'Educational Attainment': 'Doctorate degree', 'Marital Status': 'Married', 'Occupation': 'EDU-Postsecondary Teachers', 'Place of Birth': 'Sri Lanka', 'Usual Hours Worked per Week': 25.0, 'Sex': 'Female', 'Race': 'Asian alone'}",0,Somewhat narrative,"At 46, a married woman from Sri Lanka holds a doctorate and works 25 hours per week as a postsecondary teacher in local government. As an Asian individual, she contributes to education while balancing her professional and personal life."
"{'Age': 46.0, 'Class of Worker': 'Local government employee (city, county, etc.)', 'Educational Attainment': 'Doctorate degree', 'Marital Status': 'Married', 'Occupation': 'EDU-Postsecondary Teachers', 'Place of Birth': 'Sri Lanka', 'Usual Hours Worked per Week': 25.0, 'Sex': 'Female', 'Race': 'Asian alone'}",0,Very narrative,"At 46, a Sri Lankan-born female with a doctorate teaches at a local college. Balancing work and family life, she dedicates 25 hours a week to her students. Married and passionate about education, her journey reflects a commitment to learning and community service."
"{'Age': 46.0, 'Class of Worker': 'Local government employee (city, county, etc.)', 'Educational Attainment': 'Doctorate degree', 'Marital Status': 'Married', 'Occupation': 'EDU-Postsecondary Teachers', 'Place of Birth': 'Sri Lanka', 'Usual Hours Worked per Week': 25.0, 'Sex': 'Female', 'Race': 'Asian alone'}",0,Negative first,"This person is a local government employee in the education sector, specifically as a postsecondary teacher. They are a 46-year-old married female, originally from Sri Lanka, with a doctorate degree. They typically work 25 hours per week."
"{'Age': 46.0, 'Class of Worker': 'Local government employee (city, county, etc.)', 'Educational Attainment': 'Doctorate degree', 'Marital Status': 'Married', 'Occupation': 'EDU-Postsecondary Teachers', 'Place of Birth': 'Sri Lanka', 'Usual Hours Worked per Week': 25.0, 'Sex': 'Female', 'Race': 'Asian alone'}",0,Positive first,"At 46 years old, this married individual holds a doctorate degree. They work as a local government employee in the education sector, specifically as a postsecondary teacher. Born in Sri Lanka, they typically work 25 hours per week, and identify as female, belonging to the Asian race."
"{'Age': 67.0, 'Class of Worker': 'State government employee', 'Educational Attainment': 'Regular high school diploma', 'Marital Status': 'Divorced', 'Occupation': 'OFF-Office Clerks, General', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 37.0, 'Sex': 'Male', 'Race': 'White alone'}",1,Base summary,"The individual is a 67-year-old male, divorced, with a regular high school diploma. He works 37 hours per week as a general office clerk and is employed by the state government. He identifies as White and was born in New York."
"{'Age': 67.0, 'Class of Worker': 'State government employee', 'Educational Attainment': 'Regular high school diploma', 'Marital Status': 'Divorced', 'Occupation': 'OFF-Office Clerks, General', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 37.0, 'Sex': 'Male', 'Race': 'White alone'}",1,Somewhat narrative,"A 67-year-old male state government employee, born in New York, holds a regular high school diploma. Working as a general office clerk, he typically works 37 hours per week and is currently divorced. His race is classified as White alone."
"{'Age': 67.0, 'Class of Worker': 'State government employee', 'Educational Attainment': 'Regular high school diploma', 'Marital Status': 'Divorced', 'Occupation': 'OFF-Office Clerks, General', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 37.0, 'Sex': 'Male', 'Race': 'White alone'}",1,Very narrative,"At 67, a divorced man from New York navigates life as a state government office clerk. With a high school diploma, he dedicates around 37 hours weekly to his work, embracing the routine and camaraderie of his role in public service. His journey reflects resilience and dedication."
"{'Age': 67.0, 'Class of Worker': 'State government employee', 'Educational Attainment': 'Regular high school diploma', 'Marital Status': 'Divorced', 'Occupation': 'OFF-Office Clerks, General', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 37.0, 'Sex': 'Male', 'Race': 'White alone'}",1,Negative first,"At 67 years old, this divorced state government employee works as a general office clerk, typically putting in 37 hours each week and holds a regular high school diploma. He is a white male born in New York."
"{'Age': 67.0, 'Class of Worker': 'State government employee', 'Educational Attainment': 'Regular high school diploma', 'Marital Status': 'Divorced', 'Occupation': 'OFF-Office Clerks, General', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 37.0, 'Sex': 'Male', 'Race': 'White alone'}",1,Positive first,"This individual is a 67-year-old white male born in New York. He works as a state government employee, holds a regular high school diploma, is divorced, and serves as an office clerk, usually working 37 hours per week."
"{'Age': 47.0, 'Class of Worker': 'Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions', 'Educational Attainment': '1 or more years of college credit, no degree', 'Marital Status': 'Married', 'Occupation': 'CON-First-Line Supervisors Of Construction Trades And Extraction Workers', 'Place of Birth': 'Pakistan', 'Usual Hours Worked per Week': 35.0, 'Sex': 'Male', 'Race': 'Asian alone'}",2,Base summary,"The individual is a 47-year-old Asian male, married, employed as a first-line supervisor in construction trades. He has some college education without a degree, was born in Pakistan, and typically works 35 hours per week for a private for-profit entity."
"{'Age': 47.0, 'Class of Worker': 'Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions', 'Educational Attainment': '1 or more years of college credit, no degree', 'Marital Status': 'Married', 'Occupation': 'CON-First-Line Supervisors Of Construction Trades And Extraction Workers', 'Place of Birth': 'Pakistan', 'Usual Hours Worked per Week': 35.0, 'Sex': 'Male', 'Race': 'Asian alone'}",2,Somewhat narrative,"A 47-year-old Asian male, born in Pakistan, is married and works 35 hours per week as a first-line supervisor in construction trades. He has completed some college credit without earning a degree and is employed by a private for-profit company."
"{'Age': 47.0, 'Class of Worker': 'Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions', 'Educational Attainment': '1 or more years of college credit, no degree', 'Marital Status': 'Married', 'Occupation': 'CON-First-Line Supervisors Of Construction Trades And Extraction Workers', 'Place of Birth': 'Pakistan', 'Usual Hours Worked per Week': 35.0, 'Sex': 'Male', 'Race': 'Asian alone'}",2,Very narrative,"At 47, a married man from Pakistan diligently works as a first-line supervisor in construction, overseeing teams with experience from his years of college. He contributes 35 hours weekly, embodying the commitment and leadership essential in his role within a private company."
"{'Age': 47.0, 'Class of Worker': 'Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions', 'Educational Attainment': '1 or more years of college credit, no degree', 'Marital Status': 'Married', 'Occupation': 'CON-First-Line Supervisors Of Construction Trades And Extraction Workers', 'Place of Birth': 'Pakistan', 'Usual Hours Worked per Week': 35.0, 'Sex': 'Male', 'Race': 'Asian alone'}",2,Negative first,"This individual is of Asian descent, has completed some college education but holds no degree, works 35 hours per week, and was born in Pakistan. They are a 47-year-old married male employed as a first-line supervisor in construction trades within a private for-profit company."
"{'Age': 47.0, 'Class of Worker': 'Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions', 'Educational Attainment': '1 or more years of college credit, no degree', 'Marital Status': 'Married', 'Occupation': 'CON-First-Line Supervisors Of Construction Trades And Extraction Workers', 'Place of Birth': 'Pakistan', 'Usual Hours Worked per Week': 35.0, 'Sex': 'Male', 'Race': 'Asian alone'}",2,Positive first,"This individual is a 47-year-old married male who works as a first-line supervisor in construction trades for a private company. However, he is of Asian descent, has some college credit but no degree, works 35 hours a week, and was born in Pakistan."
"{'Age': 30.0, 'Class of Worker': 'Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions', 'Educational Attainment': 'Bachelors degree', 'Marital Status': 'Never married or under 15 years old', 'Occupation': 'BUS-Compensation, Benefits, And Job Analysis Specialists', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 50.0, 'Sex': 'Female', 'Race': 'White alone'}",3,Base summary,"This individual is a 30-year-old female with a bachelors degree, employed as a Compensation and Benefits Specialist. She is single, born in New York, works 50 hours weekly, and is classified as an employee of a private for-profit entity."
"{'Age': 30.0, 'Class of Worker': 'Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions', 'Educational Attainment': 'Bachelors degree', 'Marital Status': 'Never married or under 15 years old', 'Occupation': 'BUS-Compensation, Benefits, And Job Analysis Specialists', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 50.0, 'Sex': 'Female', 'Race': 'White alone'}",3,Somewhat narrative,"At 30 years old, this female employee, born in New York, holds a Bachelors degree and works 50 hours a week as a specialist in compensation and benefits for a private company. She has never been married and is part of the white demographic."
"{'Age': 30.0, 'Class of Worker': 'Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions', 'Educational Attainment': 'Bachelors degree', 'Marital Status': 'Never married or under 15 years old', 'Occupation': 'BUS-Compensation, Benefits, And Job Analysis Specialists', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 50.0, 'Sex': 'Female', 'Race': 'White alone'}",3,Very narrative,"A 30-year-old female compensation specialist, born in New York, balances her career in the private sector while navigating life as someone who has never married. With a bachelor’s degree and a demanding 50-hour workweek, she immerses herself in the complexities of employee benefits and job analysis."
"{'Age': 30.0, 'Class of Worker': 'Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions', 'Educational Attainment': 'Bachelors degree', 'Marital Status': 'Never married or under 15 years old', 'Occupation': 'BUS-Compensation, Benefits, And Job Analysis Specialists', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 50.0, 'Sex': 'Female', 'Race': 'White alone'}",3,Negative first,"This individual is female, never married, and works as a Compensation, Benefits, and Job Analysis Specialist. They are 30 years old, hold a Bachelors degree, work 50 hours a week, and are employed by a private company in New York."
"{'Age': 30.0, 'Class of Worker': 'Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions', 'Educational Attainment': 'Bachelors degree', 'Marital Status': 'Never married or under 15 years old', 'Occupation': 'BUS-Compensation, Benefits, And Job Analysis Specialists', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 50.0, 'Sex': 'Female', 'Race': 'White alone'}",3,Positive first,"This 30-year-old individual, born in New York, holds a Bachelors degree and works as an employee in a private for-profit company, typically putting in 50 hours each week. Despite being female and never married, she specializes in compensation, benefits, and job analysis."
"{'Age': 59.0, 'Class of Worker': 'Self-employed in own not incorporated business, professional practice, or farm', 'Educational Attainment': 'Associates degree', 'Marital Status': 'Divorced', 'Occupation': 'SAL-Real Estate Brokers And Sales Agents', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 45.0, 'Sex': 'Male', 'Race': 'White alone'}",4,Base summary,"The individual is a 59-year-old self-employed male real estate broker with an associates degree. He is divorced, works approximately 45 hours per week, and was born in New York. He identifies as White."
"{'Age': 59.0, 'Class of Worker': 'Self-employed in own not incorporated business, professional practice, or farm', 'Educational Attainment': 'Associates degree', 'Marital Status': 'Divorced', 'Occupation': 'SAL-Real Estate Brokers And Sales Agents', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 45.0, 'Sex': 'Male', 'Race': 'White alone'}",4,Somewhat narrative,"Born in New York, a 59-year-old divorced male with an associates degree works 45 hours a week as a self-employed real estate broker. He identifies as white and operates his own business in the professional services sector."
"{'Age': 59.0, 'Class of Worker': 'Self-employed in own not incorporated business, professional practice, or farm', 'Educational Attainment': 'Associates degree', 'Marital Status': 'Divorced', 'Occupation': 'SAL-Real Estate Brokers And Sales Agents', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 45.0, 'Sex': 'Male', 'Race': 'White alone'}",4,Very narrative,"At 59, a self-employed real estate broker in New York dedicates 45 hours a week to his passion. Divorced, he navigates life with the wisdom of experience, drawing from his associates degree and the vibrant community around him, reflecting a journey rich with stories and resilience."
"{'Age': 59.0, 'Class of Worker': 'Self-employed in own not incorporated business, professional practice, or farm', 'Educational Attainment': 'Associates degree', 'Marital Status': 'Divorced', 'Occupation': 'SAL-Real Estate Brokers And Sales Agents', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 45.0, 'Sex': 'Male', 'Race': 'White alone'}",4,Negative first,"This individual is a self-employed real estate broker, divorced, with an associates degree. He is a 59-year-old white male, working 45 hours a week, and was born in New York."
"{'Age': 59.0, 'Class of Worker': 'Self-employed in own not incorporated business, professional practice, or farm', 'Educational Attainment': 'Associates degree', 'Marital Status': 'Divorced', 'Occupation': 'SAL-Real Estate Brokers And Sales Agents', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 45.0, 'Sex': 'Male', 'Race': 'White alone'}",4,Positive first,"A 59-year-old white male from New York typically works 45 hours per week. He is divorced and self-employed in a non-incorporated business as a real estate broker. With an associates degree, he navigates his profession in a competitive market."
"{'Age': 60.0, 'Class of Worker': 'Local government employee (city, county, etc.)', 'Educational Attainment': 'Bachelors degree', 'Marital Status': 'Never married or under 15 years old', 'Occupation': 'EDU-Elementary And Middle School Teachers', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 26.0, 'Sex': 'Female', 'Race': 'Black or African American alone'}",5,Base summary,"The individual is a 60-year-old Black or African American female, born in New York. She works 26 hours weekly as a local government employee in education, specifically as an elementary and middle school teacher, and holds a bachelors degree. She has never been married."
"{'Age': 60.0, 'Class of Worker': 'Local government employee (city, county, etc.)', 'Educational Attainment': 'Bachelors degree', 'Marital Status': 'Never married or under 15 years old', 'Occupation': 'EDU-Elementary And Middle School Teachers', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 26.0, 'Sex': 'Female', 'Race': 'Black or African American alone'}",5,Somewhat narrative,"A 60-year-old Black or African American female from New York holds a Bachelors degree and works 26 hours per week as a local government employee in education, specifically as an elementary and middle school teacher. She has never been married and is indicative of a younger demographic in her education."
"{'Age': 60.0, 'Class of Worker': 'Local government employee (city, county, etc.)', 'Educational Attainment': 'Bachelors degree', 'Marital Status': 'Never married or under 15 years old', 'Occupation': 'EDU-Elementary And Middle School Teachers', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 26.0, 'Sex': 'Female', 'Race': 'Black or African American alone'}",5,Very narrative,"Born in the bustling streets of New York, a 60-year-old African American woman has dedicated her life to teaching young minds. As a local government employee, she works part-time, sharing her passion for education and shaping the future, all while navigating life as a single individual."
"{'Age': 60.0, 'Class of Worker': 'Local government employee (city, county, etc.)', 'Educational Attainment': 'Bachelors degree', 'Marital Status': 'Never married or under 15 years old', 'Occupation': 'EDU-Elementary And Middle School Teachers', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 26.0, 'Sex': 'Female', 'Race': 'Black or African American alone'}",5,Negative first,"This individual is a female local government employee, never married or under 15 years old, working part-time as an elementary and middle school teacher. Born in New York, she holds a bachelors degree and is 60 years old. She identifies as Black or African American alone."
"{'Age': 60.0, 'Class of Worker': 'Local government employee (city, county, etc.)', 'Educational Attainment': 'Bachelors degree', 'Marital Status': 'Never married or under 15 years old', 'Occupation': 'EDU-Elementary And Middle School Teachers', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 26.0, 'Sex': 'Female', 'Race': 'Black or African American alone'}",5,Positive first,"This person was born in New York and holds a Bachelor’s degree. They are 60 years old. However, they are female, never married or under 15 years old, work as a local government employee, usually work 26 hours a week, are an elementary and middle school teacher, and identify as Black or African American."
"{'Age': 53.0, 'Class of Worker': 'Self-employed in own not incorporated business, professional practice, or farm', 'Educational Attainment': '1 or more years of college credit, no degree', 'Marital Status': 'Married', 'Occupation': 'CON-Electricians', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 40.0, 'Sex': 'Male', 'Race': 'White alone'}",6,Base summary,"The individual is a 53-year-old married male electrician, self-employed in his own business. He was born in New York, has some college credit but no degree, and typically works 40 hours per week. He identifies as White alone."
"{'Age': 53.0, 'Class of Worker': 'Self-employed in own not incorporated business, professional practice, or farm', 'Educational Attainment': '1 or more years of college credit, no degree', 'Marital Status': 'Married', 'Occupation': 'CON-Electricians', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 40.0, 'Sex': 'Male', 'Race': 'White alone'}",6,Somewhat narrative,"At 53 years old, a self-employed electrician from New York works approximately 40 hours a week. With some college education but no degree, he identifies as white and is married. His career reflects a long-standing commitment to his professional practice in the electrical field."
"{'Age': 53.0, 'Class of Worker': 'Self-employed in own not incorporated business, professional practice, or farm', 'Educational Attainment': '1 or more years of college credit, no degree', 'Marital Status': 'Married', 'Occupation': 'CON-Electricians', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 40.0, 'Sex': 'Male', 'Race': 'White alone'}",6,Very narrative,"At 53, a married New York native thrives as a self-employed electrician. With years of college credit under his belt and a solid 40-hour workweek, he balances the demands of his profession while navigating the complexities of family life, embodying the spirit of independent enterprise."
"{'Age': 53.0, 'Class of Worker': 'Self-employed in own not incorporated business, professional practice, or farm', 'Educational Attainment': '1 or more years of college credit, no degree', 'Marital Status': 'Married', 'Occupation': 'CON-Electricians', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 40.0, 'Sex': 'Male', 'Race': 'White alone'}",6,Negative first,"This individual is self-employed in a professional practice and has some college credit but no degree, working as an electrician. He is a 53-year-old married male, born in New York, typically working 40 hours each week, and identifies as White alone."
"{'Age': 53.0, 'Class of Worker': 'Self-employed in own not incorporated business, professional practice, or farm', 'Educational Attainment': '1 or more years of college credit, no degree', 'Marital Status': 'Married', 'Occupation': 'CON-Electricians', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 40.0, 'Sex': 'Male', 'Race': 'White alone'}",6,Positive first,"This individual is a 53-year-old married male, born in New York and typically works 40 hours a week. He identifies as White. He is self-employed in a not incorporated business or professional practice and has completed some college credit without obtaining a degree, working as an electrician."
"{'Age': 26.0, 'Class of Worker': 'Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions', 'Educational Attainment': 'Bachelors degree', 'Marital Status': 'Never married or under 15 years old', 'Occupation': 'MGR-Marketing Managers', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 37.0, 'Sex': 'Female', 'Race': 'White alone'}",7,Base summary,The individual is a 26-year-old female marketing manager with a Bachelors degree. She works 37 hours a week as an employee in a private for-profit company and is from New York. Her marital status indicates she has never been married.
"{'Age': 26.0, 'Class of Worker': 'Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions', 'Educational Attainment': 'Bachelors degree', 'Marital Status': 'Never married or under 15 years old', 'Occupation': 'MGR-Marketing Managers', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 37.0, 'Sex': 'Female', 'Race': 'White alone'}",7,Somewhat narrative,"Born in New York, this 26-year-old White female is a Marketing Manager employed by a private company. With a Bachelors degree, she typically works 37 hours per week and has never been married."
"{'Age': 26.0, 'Class of Worker': 'Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions', 'Educational Attainment': 'Bachelors degree', 'Marital Status': 'Never married or under 15 years old', 'Occupation': 'MGR-Marketing Managers', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 37.0, 'Sex': 'Female', 'Race': 'White alone'}",7,Very narrative,"At 26, a New York native navigates her career as a marketing manager, fully immersed in her role at a private company. With a bachelor’s degree and a commitment to her work, she dedicates 37 hours weekly, while enjoying the independence of being single and the vibrant pulse of city life."
"{'Age': 26.0, 'Class of Worker': 'Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions', 'Educational Attainment': 'Bachelors degree', 'Marital Status': 'Never married or under 15 years old', 'Occupation': 'MGR-Marketing Managers', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 37.0, 'Sex': 'Female', 'Race': 'White alone'}",7,Negative first,"At 26 years old, this person is a never-married female who typically works 37 hours a week. She holds a Bachelor’s degree and works as a Marketing Manager for a private for-profit company, born in New York, and identifies as White alone."
"{'Age': 26.0, 'Class of Worker': 'Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions', 'Educational Attainment': 'Bachelors degree', 'Marital Status': 'Never married or under 15 years old', 'Occupation': 'MGR-Marketing Managers', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 37.0, 'Sex': 'Female', 'Race': 'White alone'}",7,Positive first,"This individual holds a Bachelors degree and works as a Marketing Manager for a private company. Born in New York, she identifies as White alone. At 26 years old, she is female, works 37 hours a week, and is currently never married or under 15 years old."
"{'Age': 57.0, 'Class of Worker': 'Federal government employee', 'Educational Attainment': 'Regular high school diploma', 'Marital Status': 'Widowed', 'Occupation': 'OFF-Postal Service Mail Carriers', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 35.0, 'Sex': 'Female', 'Race': 'White alone'}",8,Base summary,"The individual is a 57-year-old white female, widowed, born in New York. She is a federal government employee working as a postal service mail carrier, typically working 35 hours per week, and has attained a regular high school diploma."
"{'Age': 57.0, 'Class of Worker': 'Federal government employee', 'Educational Attainment': 'Regular high school diploma', 'Marital Status': 'Widowed', 'Occupation': 'OFF-Postal Service Mail Carriers', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 35.0, 'Sex': 'Female', 'Race': 'White alone'}",8,Somewhat narrative,"A 57-year-old female federal government employee, born in New York, works as a postal service mail carrier. She holds a regular high school diploma, typically works 35 hours per week, and is currently widowed. Her racial background is identified as White alone."
"{'Age': 57.0, 'Class of Worker': 'Federal government employee', 'Educational Attainment': 'Regular high school diploma', 'Marital Status': 'Widowed', 'Occupation': 'OFF-Postal Service Mail Carriers', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 35.0, 'Sex': 'Female', 'Race': 'White alone'}",8,Very narrative,"Born in New York, a 57-year-old widowed female mail carrier works for the federal government, contributing 35 hours a week. With a regular high school diploma, she embodies dedication in her role, delivering letters and packages, connecting people in her community through each meticulously made delivery."
"{'Age': 57.0, 'Class of Worker': 'Federal government employee', 'Educational Attainment': 'Regular high school diploma', 'Marital Status': 'Widowed', 'Occupation': 'OFF-Postal Service Mail Carriers', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 35.0, 'Sex': 'Female', 'Race': 'White alone'}",8,Negative first,"This individual, a female federal government employee and widowed, works 35 hours a week as a postal service mail carrier. Born in New York and aged 57, she identifies as White and has a regular high school diploma."
"{'Age': 57.0, 'Class of Worker': 'Federal government employee', 'Educational Attainment': 'Regular high school diploma', 'Marital Status': 'Widowed', 'Occupation': 'OFF-Postal Service Mail Carriers', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 35.0, 'Sex': 'Female', 'Race': 'White alone'}",8,Positive first,"Born in New York, this 57-year-old individual identifies as White alone. However, as a female postal service mail carrier with a regular high school diploma, working 35 hours a week as a federal government employee and being widowed, certain challenges may arise in their economic situation."
"{'Age': 53.0, 'Class of Worker': 'Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions', 'Educational Attainment': 'GED or alternative credential', 'Marital Status': 'Married', 'Occupation': 'SAL-Sales And Related Workers, All Other', 'Place of Birth': 'Italy', 'Usual Hours Worked per Week': 36.0, 'Sex': 'Female', 'Race': 'White alone'}",9,Base summary,"The individual is a 53-year-old married female employee of a private for-profit business, born in Italy. She works in sales and has attained a GED or alternative credential, typically working 36 hours per week. Her race is categorized as White alone."
"{'Age': 53.0, 'Class of Worker': 'Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions', 'Educational Attainment': 'GED or alternative credential', 'Marital Status': 'Married', 'Occupation': 'SAL-Sales And Related Workers, All Other', 'Place of Birth': 'Italy', 'Usual Hours Worked per Week': 36.0, 'Sex': 'Female', 'Race': 'White alone'}",9,Somewhat narrative,"The individual is a 53-year-old married female originally from Italy. She holds a GED or an alternative credential and works as a sales-related employee in a private for-profit company, typically putting in 36 hours a week. She identifies as White alone."
"{'Age': 53.0, 'Class of Worker': 'Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions', 'Educational Attainment': 'GED or alternative credential', 'Marital Status': 'Married', 'Occupation': 'SAL-Sales And Related Workers, All Other', 'Place of Birth': 'Italy', 'Usual Hours Worked per Week': 36.0, 'Sex': 'Female', 'Race': 'White alone'}",9,Very narrative,"At 53, this married woman, born in Italy, embraces life as a sales worker. With a GED, she dedicates 36 hours each week to her role in a private company, showcasing her resilience and commitment in a vibrant, ever-changing marketplace."
"{'Age': 53.0, 'Class of Worker': 'Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions', 'Educational Attainment': 'GED or alternative credential', 'Marital Status': 'Married', 'Occupation': 'SAL-Sales And Related Workers, All Other', 'Place of Birth': 'Italy', 'Usual Hours Worked per Week': 36.0, 'Sex': 'Female', 'Race': 'White alone'}",9,Negative first,"This individual is a female from Italy, working in sales with a GED. She typically works 36 hours a week. At 53 years old, she is married and employed by a private for-profit company. Her race is identified as White alone."
