dict,problem,name,summary
"{'Age': 53.0, 'Class of Worker': 'Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions', 'Educational Attainment': 'GED or alternative credential', 'Marital Status': 'Married', 'Occupation': 'SAL-Sales And Related Workers, All Other', 'Place of Birth': 'Italy', 'Usual Hours Worked per Week': 36.0, 'Sex': 'Female', 'Race': 'White alone'}",9,Positive first,"This individual is a 53-year-old married white woman employed by a private company. She works in sales and related roles for 36 hours a week and has a GED. Originally from Italy, her educational background and occupation present certain challenges in her career trajectory."
"{'Age': 53.0, 'Class of Worker': 'Local government employee (city, county, etc.)', 'Educational Attainment': 'Bachelors degree', 'Marital Status': 'Separated', 'Occupation': 'CMS-Social Workers, All Other', 'Place of Birth': 'Dominican Republic', 'Usual Hours Worked per Week': 40.0, 'Sex': 'Female', 'Race': 'Black or African American alone'}",10,Base summary,"The individual is a 53-year-old Black or African American female, originally from the Dominican Republic. She works 40 hours per week as a social worker for local government and has attained a bachelors degree. Her marital status is separated."
"{'Age': 53.0, 'Class of Worker': 'Local government employee (city, county, etc.)', 'Educational Attainment': 'Bachelors degree', 'Marital Status': 'Separated', 'Occupation': 'CMS-Social Workers, All Other', 'Place of Birth': 'Dominican Republic', 'Usual Hours Worked per Week': 40.0, 'Sex': 'Female', 'Race': 'Black or African American alone'}",10,Somewhat narrative,"At 53 years old, a separated female local government employee from the Dominican Republic, she holds a Bachelors degree and works 40 hours a week as a CMS-Social Worker, contributing to her community. She identifies as Black or African American."
"{'Age': 53.0, 'Class of Worker': 'Local government employee (city, county, etc.)', 'Educational Attainment': 'Bachelors degree', 'Marital Status': 'Separated', 'Occupation': 'CMS-Social Workers, All Other', 'Place of Birth': 'Dominican Republic', 'Usual Hours Worked per Week': 40.0, 'Sex': 'Female', 'Race': 'Black or African American alone'}",10,Very narrative,"At 53, a dedicated local government employee, originally from the Dominican Republic, navigates life as a separated mother. As a social worker, she commits her 40-hour weeks to supporting others, drawing on her bachelors degree and rich life experiences as a proud Black woman."
"{'Age': 53.0, 'Class of Worker': 'Local government employee (city, county, etc.)', 'Educational Attainment': 'Bachelors degree', 'Marital Status': 'Separated', 'Occupation': 'CMS-Social Workers, All Other', 'Place of Birth': 'Dominican Republic', 'Usual Hours Worked per Week': 40.0, 'Sex': 'Female', 'Race': 'Black or African American alone'}",10,Negative first,"This individual is a female, separated, Black or African American local government employee from the Dominican Republic, working as a CMS-Social Worker. At 53 years old, she has a Bachelor’s degree and typically works 40 hours each week."
"{'Age': 53.0, 'Class of Worker': 'Local government employee (city, county, etc.)', 'Educational Attainment': 'Bachelors degree', 'Marital Status': 'Separated', 'Occupation': 'CMS-Social Workers, All Other', 'Place of Birth': 'Dominican Republic', 'Usual Hours Worked per Week': 40.0, 'Sex': 'Female', 'Race': 'Black or African American alone'}",10,Positive first,"At 53 years old, this individual typically works 40 hours a week and holds a Bachelors degree. However, they are a separated female social worker from the Dominican Republic, employed by local government, identifying as Black or African American."
"{'Age': 54.0, 'Class of Worker': 'Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions', 'Educational Attainment': '1 or more years of college credit, no degree', 'Marital Status': 'Married', 'Occupation': 'LGL-Paralegals And Legal Assistants', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 40.0, 'Sex': 'Female', 'Race': 'White alone'}",11,Base summary,"The individual is a 54-year-old female, born in New York, working as a paralegal in a private for-profit firm. She has completed some college education without earning a degree, works 40 hours per week, and is married. She identifies as White alone."
"{'Age': 54.0, 'Class of Worker': 'Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions', 'Educational Attainment': '1 or more years of college credit, no degree', 'Marital Status': 'Married', 'Occupation': 'LGL-Paralegals And Legal Assistants', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 40.0, 'Sex': 'Female', 'Race': 'White alone'}",11,Somewhat narrative,"At 54, this married white female paralegal with some college education works 40 hours a week as an employee in a for-profit business, drawing on her New York roots to navigate her career in the legal field."
"{'Age': 54.0, 'Class of Worker': 'Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions', 'Educational Attainment': '1 or more years of college credit, no degree', 'Marital Status': 'Married', 'Occupation': 'LGL-Paralegals And Legal Assistants', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 40.0, 'Sex': 'Female', 'Race': 'White alone'}",11,Very narrative,"At 54, she navigates the legal world as a dedicated paralegal, bringing years of college experience to her role. A New York native, she balances her professional life with family, embracing the joys and challenges of marriage while working a standard 40-hour week in a private firm."
"{'Age': 54.0, 'Class of Worker': 'Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions', 'Educational Attainment': '1 or more years of college credit, no degree', 'Marital Status': 'Married', 'Occupation': 'LGL-Paralegals And Legal Assistants', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 40.0, 'Sex': 'Female', 'Race': 'White alone'}",11,Negative first,"This individual is a female paralegal with some college credit but no degree. Born in New York, aged 54, she is married and typically works 40 hours a week as an employee in the private sector."
"{'Age': 54.0, 'Class of Worker': 'Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions', 'Educational Attainment': '1 or more years of college credit, no degree', 'Marital Status': 'Married', 'Occupation': 'LGL-Paralegals And Legal Assistants', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 40.0, 'Sex': 'Female', 'Race': 'White alone'}",11,Positive first,"This individual, a 54-year-old married woman from New York, works 40 hours a week as an employee in a private for-profit company. She has completed some college credit but holds no degree, and her occupation is in paralegal and legal assistant roles."
"{'Age': 37.0, 'Class of Worker': 'Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions', 'Educational Attainment': 'Bachelors degree', 'Marital Status': 'Married', 'Occupation': 'MED-Registered Nurses', 'Place of Birth': 'Ghana', 'Usual Hours Worked per Week': 32.0, 'Sex': 'Female', 'Race': 'Black or African American alone'}",12,Base summary,"The individual is a 37-year-old female registered nurse of Black or African American descent. She holds a bachelors degree, is married, was born in Ghana, and usually works 32 hours per week as an employee in the private for-profit sector."
"{'Age': 37.0, 'Class of Worker': 'Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions', 'Educational Attainment': 'Bachelors degree', 'Marital Status': 'Married', 'Occupation': 'MED-Registered Nurses', 'Place of Birth': 'Ghana', 'Usual Hours Worked per Week': 32.0, 'Sex': 'Female', 'Race': 'Black or African American alone'}",12,Somewhat narrative,"A 37-year-old female registered nurse, originally from Ghana, holds a bachelors degree. Employed by a private for-profit company, she typically works 32 hours per week. She identifies as Black or African American and is married."
"{'Age': 37.0, 'Class of Worker': 'Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions', 'Educational Attainment': 'Bachelors degree', 'Marital Status': 'Married', 'Occupation': 'MED-Registered Nurses', 'Place of Birth': 'Ghana', 'Usual Hours Worked per Week': 32.0, 'Sex': 'Female', 'Race': 'Black or African American alone'}",12,Very narrative,"At 37, a Ghanaian-born registered nurse balances her career in a private healthcare setting with family life. Married and educated, she brings compassion to her work, advocating for patients while managing her time across 32 hours a week. Her journey reflects resilience and dedication."
"{'Age': 37.0, 'Class of Worker': 'Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions', 'Educational Attainment': 'Bachelors degree', 'Marital Status': 'Married', 'Occupation': 'MED-Registered Nurses', 'Place of Birth': 'Ghana', 'Usual Hours Worked per Week': 32.0, 'Sex': 'Female', 'Race': 'Black or African American alone'}",12,Negative first,"This individual is a Black or African American woman from Ghana, working 32 hours a week as a MED-Registered Nurse. She is married, 37 years old, holds a Bachelors degree, and is employed in a private for-profit business."
"{'Age': 37.0, 'Class of Worker': 'Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions', 'Educational Attainment': 'Bachelors degree', 'Marital Status': 'Married', 'Occupation': 'MED-Registered Nurses', 'Place of Birth': 'Ghana', 'Usual Hours Worked per Week': 32.0, 'Sex': 'Female', 'Race': 'Black or African American alone'}",12,Positive first,"This individual is a 37-year-old married female with a Bachelors degree, employed as a registered nurse in a private sector. Born in Ghana, she typically works 32 hours per week and identifies as Black or African American."
"{'Age': 34.0, 'Class of Worker': 'Self-employed in own incorporated business, professional practice or farm', 'Educational Attainment': 'GED or alternative credential', 'Marital Status': 'Married', 'Occupation': 'ENT-Dancers And Choreographers', 'Place of Birth': 'North Carolina/NC', 'Usual Hours Worked per Week': 40.0, 'Sex': 'Male', 'Race': 'White alone'}",13,Base summary,"The individual is a 34-year-old White male, married, born in North Carolina. He has a GED and is self-employed, working 40 hours per week as an ENT-Dancer and Choreographer."
"{'Age': 34.0, 'Class of Worker': 'Self-employed in own incorporated business, professional practice or farm', 'Educational Attainment': 'GED or alternative credential', 'Marital Status': 'Married', 'Occupation': 'ENT-Dancers And Choreographers', 'Place of Birth': 'North Carolina/NC', 'Usual Hours Worked per Week': 40.0, 'Sex': 'Male', 'Race': 'White alone'}",13,Somewhat narrative,"At 34, a self-employed male in North Carolina, working 40 hours weekly as a dancer and choreographer, holds a GED. Married and identified as White, he combines his artistic talent with business acumen in his professional practice, showcasing a blend of dedication and creativity."
"{'Age': 34.0, 'Class of Worker': 'Self-employed in own incorporated business, professional practice or farm', 'Educational Attainment': 'GED or alternative credential', 'Marital Status': 'Married', 'Occupation': 'ENT-Dancers And Choreographers', 'Place of Birth': 'North Carolina/NC', 'Usual Hours Worked per Week': 40.0, 'Sex': 'Male', 'Race': 'White alone'}",13,Very narrative,"Born in North Carolina, a 34-year-old male dancer and choreographer navigates his artistic journey as a self-employed professional. With a GED and a passion for movement, he balances his creative pursuits while embracing family life, all within a 40-hour workweek."
"{'Age': 34.0, 'Class of Worker': 'Self-employed in own incorporated business, professional practice or farm', 'Educational Attainment': 'GED or alternative credential', 'Marital Status': 'Married', 'Occupation': 'ENT-Dancers And Choreographers', 'Place of Birth': 'North Carolina/NC', 'Usual Hours Worked per Week': 40.0, 'Sex': 'Male', 'Race': 'White alone'}",13,Negative first,"This individual was born in North Carolina and works as an ENT-Dancer and Choreographer, self-employed in their own professional practice. At 34 years old, they are married, white, male, and typically work 40 hours a week, holding a GED or alternative credential."
"{'Age': 34.0, 'Class of Worker': 'Self-employed in own incorporated business, professional practice or farm', 'Educational Attainment': 'GED or alternative credential', 'Marital Status': 'Married', 'Occupation': 'ENT-Dancers And Choreographers', 'Place of Birth': 'North Carolina/NC', 'Usual Hours Worked per Week': 40.0, 'Sex': 'Male', 'Race': 'White alone'}",13,Positive first,This individual is a 34-year-old married white male who works 40 hours a week. He was born in North Carolina and is self-employed in the entertainment sector as a dancer and choreographer. His educational attainment is a GED or alternative credential.
"{'Age': 45.0, 'Class of Worker': 'Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions', 'Educational Attainment': 'Some college, but less than 1 year', 'Marital Status': 'Married', 'Occupation': 'OFF-Postal Service Mail Sorters, Processors, And Processing Machine Operators', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 40.0, 'Sex': 'Male', 'Race': 'White alone'}",14,Base summary,"The individual is a 45-year-old married male with some college education, working 40 hours per week as a postal service mail sorter. He is an employee of a private company and is from New York, identifying as white."
"{'Age': 45.0, 'Class of Worker': 'Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions', 'Educational Attainment': 'Some college, but less than 1 year', 'Marital Status': 'Married', 'Occupation': 'OFF-Postal Service Mail Sorters, Processors, And Processing Machine Operators', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 40.0, 'Sex': 'Male', 'Race': 'White alone'}",14,Somewhat narrative,"A 45-year-old married male, born in New York, works as a mail sorter for a private company, typically logging 40 hours a week. He has some college education, comprising less than one year, and identifies as White alone."
"{'Age': 45.0, 'Class of Worker': 'Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions', 'Educational Attainment': 'Some college, but less than 1 year', 'Marital Status': 'Married', 'Occupation': 'OFF-Postal Service Mail Sorters, Processors, And Processing Machine Operators', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 40.0, 'Sex': 'Male', 'Race': 'White alone'}",14,Very narrative,"At 45, a married male, born in New York, dedicates 40 hours a week as a mail sorter. With some college education, he contributes to a private business, embodying the commitment of everyday workers navigating life’s journey."
"{'Age': 45.0, 'Class of Worker': 'Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions', 'Educational Attainment': 'Some college, but less than 1 year', 'Marital Status': 'Married', 'Occupation': 'OFF-Postal Service Mail Sorters, Processors, And Processing Machine Operators', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 40.0, 'Sex': 'Male', 'Race': 'White alone'}",14,Negative first,"This individual has some college education but less than a year, and works as a postal service mail sorter. At 45 years old, he is married, a white male from New York, working 40 hours a week as an employee of a private company."
"{'Age': 45.0, 'Class of Worker': 'Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions', 'Educational Attainment': 'Some college, but less than 1 year', 'Marital Status': 'Married', 'Occupation': 'OFF-Postal Service Mail Sorters, Processors, And Processing Machine Operators', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 40.0, 'Sex': 'Male', 'Race': 'White alone'}",14,Positive first,This 45-year-old married white male from New York works 40 hours a week as an employee in a private company. He has some college education but less than a year and is employed as a postal service mail sorter.
"{'Age': 26.0, 'Class of Worker': 'Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions', 'Educational Attainment': 'Bachelors degree', 'Marital Status': 'Never married or under 15 years old', 'Occupation': 'MGR-Other Managers', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 40.0, 'Sex': 'Male', 'Race': 'White alone'}",15,Base summary,"The individual is a 26-year-old male from New York, holding a bachelors degree. He works 40 hours per week as a manager in a private for-profit company and is classified as never married. He identifies as White alone."
"{'Age': 26.0, 'Class of Worker': 'Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions', 'Educational Attainment': 'Bachelors degree', 'Marital Status': 'Never married or under 15 years old', 'Occupation': 'MGR-Other Managers', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 40.0, 'Sex': 'Male', 'Race': 'White alone'}",15,Somewhat narrative,"At 26 years old, this individual, a white male born in New York, holds a Bachelors degree. He works 40 hours a week as a manager in a private company and is currently unmarried."
"{'Age': 26.0, 'Class of Worker': 'Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions', 'Educational Attainment': 'Bachelors degree', 'Marital Status': 'Never married or under 15 years old', 'Occupation': 'MGR-Other Managers', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 40.0, 'Sex': 'Male', 'Race': 'White alone'}",15,Very narrative,"At 26, a white male from New York, he works as a manager in a private company, dedicating 40 hours a week. With a bachelors degree and a single status, he navigates the early stages of his career, embracing the opportunities that come his way."
"{'Age': 26.0, 'Class of Worker': 'Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions', 'Educational Attainment': 'Bachelors degree', 'Marital Status': 'Never married or under 15 years old', 'Occupation': 'MGR-Other Managers', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 40.0, 'Sex': 'Male', 'Race': 'White alone'}",15,Negative first,"At 26 years old and never married, this individual works 40 hours a week as a manager in a private company. A white male originally from New York, he holds a bachelors degree, contributing to his professional role."
"{'Age': 26.0, 'Class of Worker': 'Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions', 'Educational Attainment': 'Bachelors degree', 'Marital Status': 'Never married or under 15 years old', 'Occupation': 'MGR-Other Managers', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 40.0, 'Sex': 'Male', 'Race': 'White alone'}",15,Positive first,"This individual is a male employee of a private for-profit company, working as a manager with a bachelor’s degree. Born in New York, he typically works 40 hours a week. He is 26 years old and has never been married."
"{'Age': 47.0, 'Class of Worker': 'Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions', 'Educational Attainment': 'Grade 11', 'Marital Status': 'Married', 'Occupation': 'CON-Plumbers, Pipefitters, And Steamfitters', 'Place of Birth': 'Jamaica', 'Usual Hours Worked per Week': 40.0, 'Sex': 'Male', 'Race': 'Black or African American alone'}",16,Base summary,"The individual is a 47-year-old married Black male, employed as a plumber or pipefitter, working 40 hours per week. He has completed up to Grade 11 education and was born in Jamaica."
"{'Age': 47.0, 'Class of Worker': 'Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions', 'Educational Attainment': 'Grade 11', 'Marital Status': 'Married', 'Occupation': 'CON-Plumbers, Pipefitters, And Steamfitters', 'Place of Birth': 'Jamaica', 'Usual Hours Worked per Week': 40.0, 'Sex': 'Male', 'Race': 'Black or African American alone'}",16,Somewhat narrative,"At 47, this married Black male, born in Jamaica, works 40 hours weekly as a plumber, pipefitter, and steamfitter for a private company. He completed grade 11 and is categorized as an employee earning wages or commissions."
"{'Age': 47.0, 'Class of Worker': 'Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions', 'Educational Attainment': 'Grade 11', 'Marital Status': 'Married', 'Occupation': 'CON-Plumbers, Pipefitters, And Steamfitters', 'Place of Birth': 'Jamaica', 'Usual Hours Worked per Week': 40.0, 'Sex': 'Male', 'Race': 'Black or African American alone'}",16,Very narrative,"At 47, this married male plumber hails from Jamaica, now working 40 hours a week as an employee in the private sector. With an education level of Grade 11, he skillfully navigates the intricate world of pipes and fittings, contributing to his community with every project."
"{'Age': 47.0, 'Class of Worker': 'Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions', 'Educational Attainment': 'Grade 11', 'Marital Status': 'Married', 'Occupation': 'CON-Plumbers, Pipefitters, And Steamfitters', 'Place of Birth': 'Jamaica', 'Usual Hours Worked per Week': 40.0, 'Sex': 'Male', 'Race': 'Black or African American alone'}",16,Negative first,"This individual, of Jamaican origin, has achieved educational attainment up to Grade 11. They work as a plumber, belonging to the Black or African American demographic. Aged 47, they are a male employee in the private sector and are married, typically working 40 hours per week."
"{'Age': 47.0, 'Class of Worker': 'Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions', 'Educational Attainment': 'Grade 11', 'Marital Status': 'Married', 'Occupation': 'CON-Plumbers, Pipefitters, And Steamfitters', 'Place of Birth': 'Jamaica', 'Usual Hours Worked per Week': 40.0, 'Sex': 'Male', 'Race': 'Black or African American alone'}",16,Positive first,"This 47-year-old married male works 40 hours a week as an employee in a private company. He has attained Grade 11 education and is a Black or African American plumber from Jamaica. His occupation involves plumbing, pipefitting, and steamfitting."
"{'Age': 57.0, 'Class of Worker': 'Employee of a private not-for-profit, tax-exempt, or charitable organization', 'Educational Attainment': 'Regular high school diploma', 'Marital Status': 'Married', 'Occupation': 'MGR-Other Managers', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 40.0, 'Sex': 'Female', 'Race': 'White alone'}",17,Base summary,The individual is a 57-year-old married female manager employed by a private not-for-profit organization. She has a regular high school diploma and works 40 hours per week. She was born in New York and identifies as White alone.
"{'Age': 57.0, 'Class of Worker': 'Employee of a private not-for-profit, tax-exempt, or charitable organization', 'Educational Attainment': 'Regular high school diploma', 'Marital Status': 'Married', 'Occupation': 'MGR-Other Managers', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 40.0, 'Sex': 'Female', 'Race': 'White alone'}",17,Somewhat narrative,"At 57 years old, a married female with a regular high school diploma works as a manager in a private not-for-profit organization, typically putting in 40 hours a week. She was born in New York and identifies as White alone."
"{'Age': 57.0, 'Class of Worker': 'Employee of a private not-for-profit, tax-exempt, or charitable organization', 'Educational Attainment': 'Regular high school diploma', 'Marital Status': 'Married', 'Occupation': 'MGR-Other Managers', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 40.0, 'Sex': 'Female', 'Race': 'White alone'}",17,Very narrative,"At 57, this New York-born female manager leads with experience, balancing her role in a charitable organization. Married and dedicated, she works 40 hours a week, bringing insights from her high school education to her position, contributing positively to her community and workplace."
"{'Age': 57.0, 'Class of Worker': 'Employee of a private not-for-profit, tax-exempt, or charitable organization', 'Educational Attainment': 'Regular high school diploma', 'Marital Status': 'Married', 'Occupation': 'MGR-Other Managers', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 40.0, 'Sex': 'Female', 'Race': 'White alone'}",17,Negative first,"This individual is an employee of a private not-for-profit organization and identifies as female, holding a regular high school diploma. Born in New York, aged 57, they work 40 hours a week as a manager and are married, identifying as white alone."
"{'Age': 57.0, 'Class of Worker': 'Employee of a private not-for-profit, tax-exempt, or charitable organization', 'Educational Attainment': 'Regular high school diploma', 'Marital Status': 'Married', 'Occupation': 'MGR-Other Managers', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 40.0, 'Sex': 'Female', 'Race': 'White alone'}",17,Positive first,"This individual, a 57-year-old white female from New York, works 40 hours a week as a manager in a non-profit sector and is married. She holds a regular high school diploma and is classified as an employee of a charitable organization."
"{'Age': 48.0, 'Class of Worker': 'Self-employed in own incorporated business, professional practice or farm', 'Educational Attainment': 'GED or alternative credential', 'Marital Status': 'Divorced', 'Occupation': 'MGR-Other Managers', 'Place of Birth': 'Guatemala', 'Usual Hours Worked per Week': 40.0, 'Sex': 'Male', 'Race': 'White alone'}",18,Base summary,"The individual is a 48-year-old self-employed male manager with a GED, originally from Guatemala. He is divorced and typically works 40 hours per week."
"{'Age': 48.0, 'Class of Worker': 'Self-employed in own incorporated business, professional practice or farm', 'Educational Attainment': 'GED or alternative credential', 'Marital Status': 'Divorced', 'Occupation': 'MGR-Other Managers', 'Place of Birth': 'Guatemala', 'Usual Hours Worked per Week': 40.0, 'Sex': 'Male', 'Race': 'White alone'}",18,Somewhat narrative,"A 48-year-old divorced male, originally from Guatemala, works 40 hours a week as a self-employed manager in his own incorporated business. With a GED as his highest educational attainment, he identifies as White alone and brings a diverse background to his professional practice."
"{'Age': 48.0, 'Class of Worker': 'Self-employed in own incorporated business, professional practice or farm', 'Educational Attainment': 'GED or alternative credential', 'Marital Status': 'Divorced', 'Occupation': 'MGR-Other Managers', 'Place of Birth': 'Guatemala', 'Usual Hours Worked per Week': 40.0, 'Sex': 'Male', 'Race': 'White alone'}",18,Very narrative,"At 48, a divorced man from Guatemala navigates life as a self-employed manager, dedicating 40 hours weekly to his own business. With a GED, he thrives on the challenges of entrepreneurship, blending resilience and experience in his professional journey, while balancing personal transformations along the way."
"{'Age': 48.0, 'Class of Worker': 'Self-employed in own incorporated business, professional practice or farm', 'Educational Attainment': 'GED or alternative credential', 'Marital Status': 'Divorced', 'Occupation': 'MGR-Other Managers', 'Place of Birth': 'Guatemala', 'Usual Hours Worked per Week': 40.0, 'Sex': 'Male', 'Race': 'White alone'}",18,Negative first,"This individual was born in Guatemala and is self-employed in their own business. They have a GED or alternative credential and are currently divorced. At 48 years old, this White male works 40 hours a week as a manager in other fields."
"{'Age': 48.0, 'Class of Worker': 'Self-employed in own incorporated business, professional practice or farm', 'Educational Attainment': 'GED or alternative credential', 'Marital Status': 'Divorced', 'Occupation': 'MGR-Other Managers', 'Place of Birth': 'Guatemala', 'Usual Hours Worked per Week': 40.0, 'Sex': 'Male', 'Race': 'White alone'}",18,Positive first,"This individual is a 48-year-old male who typically works 40 hours a week in a managerial role. He identifies as White alone. He was born in Guatemala and is self-employed with a GED or alternative credential, and is currently divorced."
"{'Age': 65.0, 'Class of Worker': 'Local government employee (city, county, etc.)', 'Educational Attainment': 'Bachelors degree', 'Marital Status': 'Married', 'Occupation': 'EDU-Elementary And Middle School Teachers', 'Place of Birth': 'Dominican Republic', 'Usual Hours Worked per Week': 15.0, 'Sex': 'Female', 'Race': 'Some Other Race alone'}",19,Base summary,"The individual is a 65-year-old married female with a Bachelors degree. She works as an elementary and middle school teacher for a local government, typically putting in 15 hours per week. She was born in the Dominican Republic and identifies as some other race alone."
"{'Age': 65.0, 'Class of Worker': 'Local government employee (city, county, etc.)', 'Educational Attainment': 'Bachelors degree', 'Marital Status': 'Married', 'Occupation': 'EDU-Elementary And Middle School Teachers', 'Place of Birth': 'Dominican Republic', 'Usual Hours Worked per Week': 15.0, 'Sex': 'Female', 'Race': 'Some Other Race alone'}",19,Somewhat narrative,"Born in the Dominican Republic, a 65-year-old female with a bachelors degree has built a career as an elementary and middle school teacher. Employed by local government, she works 15 hours per week and is married, reflecting a blend of personal and professional commitments."
"{'Age': 65.0, 'Class of Worker': 'Local government employee (city, county, etc.)', 'Educational Attainment': 'Bachelors degree', 'Marital Status': 'Married', 'Occupation': 'EDU-Elementary And Middle School Teachers', 'Place of Birth': 'Dominican Republic', 'Usual Hours Worked per Week': 15.0, 'Sex': 'Female', 'Race': 'Some Other Race alone'}",19,Very narrative,"At 65, this Dominican-born woman, a dedicated local government employee and elementary school teacher, balances her part-time role with family life. Armed with a Bachelor’s degree, she cherishes her marriage and embodies the spirit of community, enriching the lives of her students with wisdom and care."
"{'Age': 65.0, 'Class of Worker': 'Local government employee (city, county, etc.)', 'Educational Attainment': 'Bachelors degree', 'Marital Status': 'Married', 'Occupation': 'EDU-Elementary And Middle School Teachers', 'Place of Birth': 'Dominican Republic', 'Usual Hours Worked per Week': 15.0, 'Sex': 'Female', 'Race': 'Some Other Race alone'}",19,Negative first,"At 65 years old, this female individual is a local government employee working as an elementary and middle school teacher. She works 15 hours a week and was born in the Dominican Republic, identifying as Some Other Race alone. She holds a Bachelor’s degree and is married."
"{'Age': 65.0, 'Class of Worker': 'Local government employee (city, county, etc.)', 'Educational Attainment': 'Bachelors degree', 'Marital Status': 'Married', 'Occupation': 'EDU-Elementary And Middle School Teachers', 'Place of Birth': 'Dominican Republic', 'Usual Hours Worked per Week': 15.0, 'Sex': 'Female', 'Race': 'Some Other Race alone'}",19,Positive first,"This individual holds a Bachelors degree and is married. However, they work only 15 hours per week, are a 65-year-old female of Dominican Republic descent, employed as an elementary and middle school teacher in local government. They identify as Some Other Race alone."
